Site,Plot,Soil_Type,Depth,SBA,TotVolFag,StemBMFag,CarbonFag,CrownBMFag,RootBMFag,TotBMFag,PlotBMFag,Fungi,MCMSite,MCOSite,DBH,Height,CrownBaseHgt,Ilexno,Ilex_Height,Ilex_DBH,Betulano,Taxusno,Fagusno,Fagus50DBH,Fagus80DBH,Vsml,Med,Lrg,Huge,Squirrel,Debarking,IlexJuv,CarbonIlexJuv,FagusJuv,CarbonFagusJuv,BetulaJuv,TotJuv,Ilex snags,CarbonIlexSnags,Snag rot,Snag bark present,DW Decay,DW Bark,SnagTot,SnagFagus,SnagIlex,SnagQuer,Fagus deadwood (m3),Ilex Lying Deadwood (m3),Quercus Lying Deadwood (m3),Birch Lying Deadwood,Lying Deadwood Total (m3),Canopy_openness,COpro ,Under_openness,Canopy Openness Total,Structural Crown Loss (%),Leave Loss,Crown Condition,Discolouration,Condition_unhealthiness,Condition,Undercond,IlexSL,FagusSL,QuerSL,TaxusSL,Other seedlings,TotSL,FagusBrowse,IlexBrowse,Trampling,Hollyshrub,Rubusshrub,IlexEat,Ilex_Eat,RubEat,Sward,CervusDung1,CervusDung2,CervusDung3,CervusDung4,Cervus DungTot,Eqqus Dung1,Eqqus Dung2,Eqqus Dung3,Eqqus Dung4,Eqqus DungTot,LOIO,LOIM,NO3O,NH4O,NO3M,NH4M,PMN.Org,PMN.Min,Bracken,Moss,BareGround,BG.M,Litter,CompTot,CompGF,CompTree,Grass,SBA.PC.Diff,SBA66,CerDungPro,EqqDungPro,DungTot,DungTotPro,Dun,Dung,SBAPC,Sor_sim,LichenRichOth,LichenRichTot,LichenRicHol,LichenRichBeech,CarbonSoil,NitSoil,CNRatioSoil,K,Ca,Mg,Na,Al,Mn,Fe,P,MF_Min,MF_Org,pH,EC,RCAmm,RCNit,Clay,Silt,Sand,Tex_Class,Bulk_Den
BlackBush,1 - Intact,71107,3,63.2,41.20510861,22.66280974,11.33140487,0.468420175,0.870574204,24.00180412,216.016237,11,0,,59.8008454,31.6350738,10.52723059,2,7.8,17.7,0,0,9,6,0,3,1,4,1,0.666666667,0.8,26,,0,,0,26,6,,1,65,2.428571429,0.714285714,6231.965844,0,6231.965844,0,0.293508163,0,0,0,0.293508163,3.25,0.0325,0,3.25,14.375,12.5,2.25,21.25,12.59375,87.40625,80,165,2,0,0,0,2,87.5,22.72727273,5,1,0,0.458333333,45.83333333,NA,0,0,51,37,0,88,0,0,41,9,50,67.51719154,7.088558993,0.01418849,0.001568504,0.043233884,0.022985009,0.928672316,0.031779661,1,1,1,2,100,7,4,3,0,0,0,57,23,138,80,7.95,0.795,0,1,0,41,12,29,2.303014486,0.119804508,19.22310375,0.177138697,0.313668779,0.266170646,0.078874284,4.571811494,0.061732118,0.027646558,3.445,1.218288167,2.133166061,4.27,1117,8.250669045,1.939849624,24,27,49,Sandy Clay Loam,1.387669642
BlackBush,2 - Slight,71107,4.4,47.73,30.89469193,16.99208056,8.49604028,0.680816257,1.205467177,18.87836399,94.39181997,9,0.098691196,,69.72389834,33.17775898,7.198484936,2,1.3,7.25,0,3,5,4,2,1,1,1,2,0.6,2,0,,0,,0,0,1,,2,52.5,2.333333333,54,29699.81688,29579.66824,120.1486402,0,0.361664996,0.029393134,0.061473774,0,0.452531904,8.45,0.0845,0.78,9.23,6,17.5,2,7,8.125,91.875,36,154,0,0,0,0,0,85.71428571,0,5,1,1,0.518518519,51.85185185,37,0,9,346,5,6,360,0,0,0,12,12,43.94826994,8.121015463,0.018342017,0.006083001,0.024762482,0.029092418,0.483757062,0.071798493,0,5,0,5,95,11,7,4,1,24.4778481,18.69,273,3,372,276,27.55,2.755,0.244778481,0.307692308,5,29,2,22,2.502452097,0.114950832,21.76976066,0.104228535,0.207094243,0.199797002,0.080053114,3.59418977,0.017687611,0.031838749,3.64,1.316979363,2.757627391,4.24,68.1,12.35414808,3.654135338,18,31,51,Loam,1.501587611
BlackBush,3 - Moderate,71107,2.68,33.67,20.19533248,11.10743286,5.553716432,0.584135199,1.055204538,12.7467726,50.98709041,7,0.068005548,,65.48,29.61111572,8.043517051,5,1.62,10.68,0,0,4,4,0,0,2,1,1,0.25,1,0,,0,,0,0,1,,2,60,2.923076923,21.53846154,172.2924809,0,172.2924809,0,0.846192081,0.064207282,0,0,0.910399363,22.555,0.22555,0,22.555,15,17.5,2.25,6.666666667,10.35416667,89.64583333,85,141,0,1,0,0,1,100,28.57142857,5,1,1,0.485148515,48.51485149,24.50980392,13,127,0,27,0,154,0,0,0,0,0,71.9422419,6.144644075,0.039026716,0.015639382,0.04250076,0.031644483,1.018126177,0.157721281,1,1,1,2,30,15,12,3,70,46.72446665,32.75,141,0,154,141,14.05,1.405,0.467244667,0.333333333,0,32,13,19,2.617335572,0.162972075,16.06002479,0.117702751,0.734078099,0.563249872,0.053739301,3.210799222,0.153716141,0.009093383,4.4599,1.286293715,2.238901048,4.37,150.9,1.319357716,24.90225564,23,37,40,Loam,1.552986434
BlackBush,4 - Major,71107,3.85,18.1,10.66123941,5.863681674,2.931840837,1.489721043,2.374659156,9.728061873,9.728061873,6,0.006592242,,96,35.33778549,10.07822601,3,,,0,0,1,1,1,0,0,0,1,0,3.33,4,,0,,0,4,3,,2,5,2.166666667,63.46666667,14906.5643,7661.607912,7244.956383,0,2.784405185,0.085449435,0,0,2.86985462,32.955,0.32955,0,32.955,5,10,3,20,9.5,90.5,40.33333333,66,0,0,0,0,0,100,16.66666667,5,1,1,0.421568628,42.15686275,42.15686275,23.5,38,34,105,0,177,0,0,0,0,0,36.52355864,5.727937735,0.017860713,0.000745192,0.069852617,0.051289529,0.740348399,0.063559322,75,1,0,1,25,12,10,2,1,71.36776316,48.32,116,0,177,116,11.6,1.16,0.713677632,0.375,0,28,10,18,2.400419473,0.11763821,20.40510022,0.244409253,0.58866861,0.443119149,0.075114955,3.696296618,0.029561873,0.022589477,3.2431,1.224880409,3.114908345,4.24,80.7,3.424620874,93.83458647,25,26,49,Sandy Clay Loam,1.432708183
BlackBush,5 - Total,71107,4,0,0,0,0.00001,0,0,0,0,2,0.103084549,,NA,NA,NA,10,,,0,1,0,0,0,NA,NA,NA,NA,NA,1.15,0,,0,,0,0,0,,2,5,2.222222222,0,37812.86214,37812.86214,0,0,0.636241627,0,3.00782678,0,3.644068407,53.56,0.5356,14.69,68.25,NA,NA,NA,NA,NA,NA,71.25,137,3,1,0,1,5,100,14.28571429,5,15,25,0.61,61,37,38.8,80,13,0,0,93,0,0,0,17,17,72.6652184,8.818618642,0.029014776,0.016022232,0.022288215,0.039502184,0.575564972,0.16007533,0,30,5,35,20,23,17,6,25,100,66.42,90,4,110,94,9.4,0.94,1,0.24,11,38,17,10,3.057038211,0.168620244,18.12972237,0.131342221,0.970947611,0.400231993,0.046345881,5.331967043,0.105205694,0.033477833,4.2672,1.321372716,1.860359225,4.58,49.9,3.201605709,9.639097744,25,28,47,Loam,1.657783342
Bramshaw,1 - Intact,71107,12.55,62.49,30.47303334,16.76016834,8.380084168,1.770739349,2.756774131,21.28768182,63.86304545,6,0,,103,29.70328855,11.03602064,5,,,0,0,3,3,2,0,0,1,1,0,0.2,2,,0,,0,2,3,,1,63.33333333,NA,NA,2484.446154,0,2484.446154,0,0,0,0,0,0,4.056,0.04056,0,4.056,1.666666667,15,2.666666667,50,17.33333333,82.66666667,75.83333333,0,0,0,0,0,0,100,83.33333333,10,1,0,0.85,85,NA,0,106,236,60,22,424,0,0,11,23,34,37.27100785,7.765412941,0.014478593,0.002712681,0.075883254,0.045420793,0.23555392,0.067169672,0,1,0,1,99,5,1,4,0,0,0,319,11,458,330,32.975,3.2975,0,1,7,35,10,18,3.405896648,0.119959454,28.39206524,0.131422371,0.127497814,0.300370762,0.090576441,3.640537934,0.003039446,0.187906685,3.6464,1.344204273,2.794060635,4.07,114.4,12.69313113,0.045112782,17,26,57,Sandy Loam,1.651447496
Bramshaw,2 - Slight,71107,5.4,48.25,22.44190727,12.343049,6.171524501,0.689815831,1.219294084,14.25215892,71.26079458,18,-0.039278128,,70.1,22.40684761,7.839800371,8,,,1,0,5,3,2,1,1,1,2,0,1.5,22,,1,,0,23,1,,1,50,1.666666667,67.5,815.2477463,0,815.2477463,0,0.268443804,0,0,0,0.268443804,7.384,0.07384,1.144,8.528,12.14285714,22.14285714,2.142857143,22.85714286,14.82142857,85.17857143,44.44444444,4,0,0,0,0,0,100,17.64705882,5,1,1,0.643564356,64.35643564,NA,0,133,253,85,18,489,0,0,6,3,9,44.61053582,5.512117344,0.002554263,0.007229697,0.097222672,0.049214126,0.457305852,0.098454177,1,1,0,1,94,15,11,4,5,22.78694484,18.17,370,4,498,374,37.35,3.735,0.227869448,0.142857143,8,38,9,21,2.398072742,0.12069826,19.86832903,0.123376534,0.17870508,0.190787142,0.045870823,2.785377351,0.076323345,0.022497213,13.9527,1.304926145,3.309594805,4.46,66.5,1.154326494,0.015037594,16,27,57,Sandy Loam,1.387929812
Bramshaw,3 - Moderate,71107,5.25,30.58,17.06321351,9.384767431,4.692383715,1.211450551,1.98608178,12.58229976,25.16459952,11,-0.088023569,,88.24,31.37377683,11.53012136,10,,,0,0,2,2,2,0,0,0,2,0,1.13,36,,0,,0,36,0,,0,0,2.166666667,76.08333333,0,0,0,0,5.675534134,0,0,0,5.675534134,12.532,0.12532,14.456,26.988,5,20,3,40,17,83,66,5,0,0,0,0,0,100,36.38,15,2,1,0.31,31,42.15686275,14,0,120,42,5,167,0,12,69,17,98,50.27012764,4.930661302,0.005753857,0,0.104994861,0.045263192,0.48951049,0.067169672,15,10,1,11,85,14,9,5,12,51.06940622,35.84,112,48,265,160,16,1.6,0.510694062,0.166666667,0,24,11,13,2.606104143,0.111778173,23.31496465,0.070111281,0.091148759,0.122309663,0.036332433,2.872816906,0.006705635,0.018552628,4.439,1.256180704,2.899305581,4.33,54.1,0.190900981,0.345864662,15,23,62,Sandy Loam,1.666909015
Bramshaw,4 - Major,71107,7.5,18.07,9.112433727,5.01183855,2.505919275,0.636571375,1.137104873,6.785514798,13.5710296,11,-0.13679946,,67.83,24.41030441,8.306944825,7,,,0,0,2,2,0,0,1,0,1,1.9,NA,90,,0,,0,90,0,,2,65,1.641025641,82.35897436,21600.81592,21600.81592,0,0,8.247022076,0,0,0,8.247022076,26.52,0.2652,35.36,61.88,16.66666667,30,3,58.33333333,27,73,31.25,122,2,2,0,0,4,100,33.33333333,15,1,1,0.4,40,0,14,0,66,152,0,218,0,0,0,0,0,43.91294797,4.231677548,0.006822427,0.005461555,0.107973488,0.049258807,0.315605447,0.039565697,50,1,1,2,48,11,11,0,1,71.08230816,48.35,126,0,218,126,12.55,1.255,0.710823082,0.142857143,2,38,20,16,2.073325066,0.084671636,24.48665422,0.082468027,0.206719871,0.14684333,0.040664043,1.700836991,0.038895434,0.018174615,6.0416,1.207404813,2.812700273,3.97,85.2,0.552185549,44.33082707,12,23,65,Sandy Loam,1.587473716
Bramshaw,5 - Total,71107,5.9,0,0,0,0.00001,0,0,0,0,8,-0.090450835,,NA,NA,NA,2,,,0,0,0,0,0,NA,NA,NA,NA,NA,1.5,53,,0,,0,53,2,,2,42.5,3,32.67272727,15158.63537,15008.15256,150.4828117,0,16.91066635,0.1186537,0,0,17.02932005,59.904,0.59904,21.84,81.744,NA,NA,NA,NA,NA,NA,90,20,0,2,0,6,8,100,22.22222222,75,5,1,0.55,55,44,148,343,324,138,102,907,0,0,3,10,13,48.03923514,4.496095464,0.015862422,0.005313978,0.120098677,0.062980514,0.487670225,0.05520795,70,2,2,4,50,20,13,7,15,100,66.42,681,4,920,685,68.45,6.845,1,0.117647059,0,18,7,11,2.159292732,0.086815928,24.48665422,0.116407675,0.286500098,0.168932811,0.028795491,1.848258743,0.009081876,0.155844763,5.2392,1.253753438,3.12765566,4.45,81.9,5.458519179,12.57142857,13,23,64,Sandy Loam,1.395975552
Brinken,1 - Intact,84102,2.67,62.28,36.14737133,19.88105423,9.940527117,0.624734668,1.118703509,21.62449241,151.3714469,10,0,,67.31,28.79709674,9.576694312,3,,,0,0,7,5,2,2,3,0,2,0.285714286,1,1,,0,,0,1,1,,2,10,2.277777778,22.22222222,460.3480435,0,460.3480435,0,0.073035746,0.450829044,0.658303095,0,1.182167885,7.738,0.07738,0.104,7.842,0,11.42857143,2.285714286,17.85714286,7.892857144,92.10714286,76.66666667,12,0,0,0,0,0,100,80,15,1,1,0.58,58,56,4,0,29,0,0,29,0,16,95,16,127,74.03694818,5.431924661,0.034446302,0.008759323,0.115312465,0.073655484,0.814041746,0.123339658,1,1,0,1,75,9,6,3,25,0,0,22,64,156,85,8.525,0.8525,0,1,0,27,13,14,2.535028275,0.173516868,14.60969355,0.187920736,0.48553095,0.204385205,0.076809706,2.333740922,0.211903666,0.012615868,5.8638,1.288970974,1.985446504,3.9,240,0.164139161,6.270676692,19,32,49,Loam,1.155812249
Brinken,2 - Slight,84102,3,47.91,22.4876428,12.36820354,6.184101771,0.898353887,1.533227006,14.79978443,59.19913774,14,-0.014833081,,78.1,23.80294476,10.12162963,1,,,0,0,4,3,3,1,0,0,3,0,0,0,,0,,0,0,1,,2,17,2.444444444,28.33333333,252.8294863,0,252.8294863,0,0.606770844,0.058185438,0.018209613,0,0.683165895,13.468,0.13468,0,13.468,5,31.66666667,3,65,26.16666667,73.83333333,70,17,0,1,0,0,1,100,100,10,1,1,0.619047619,61.9047619,0.480392157,9,0,54,0,0,54,0,21,21,30,72,71.01948605,5.216484873,0.005169604,0.001890921,0.141329591,0.069997599,0.445920304,0.071157495,35,0,0,0,50,13,10,3,35,23.06953599,18.51,41,34,126,74,7.425,0.7425,0.23069536,0.8,0,26,3,23,2.44048353,0.127881533,19.08394022,0.125419368,0.364113122,0.218759014,0.078710138,2.309719892,0.156506177,0.018151036,5.247,1.274137893,1.12915031,4.13,99.1,16.21231044,27.96992481,16,27,57,Sandy Loam,1.402967943
Brinken,3 - Moderate,84102,3.23,32,18.50413027,10.17727165,5.088635824,0.77965577,1.355983328,12.31291075,36.93873224,6,-0.043140551,,73.7029624,29.78114785,12.46586443,3,,,2,0,3,3,1,0,2,0,1,0,0.83,10,,4,,1,15,0,,2,50,3,0.625,247.4004215,0,0,0,8.131792882,0.052245668,0.04870254,0,8.232741089,34.424,0.34424,12.792,47.216,5,33.33333333,3,65,26.58333333,73.41666667,55,121,16,0,0,4,20,100,27.27272727,5,1,15,0.38,38,52,13,39,27,8,1,75,0,0,3,1,4,84.26834615,3.733350885,0.011284658,0.001184212,0.243359431,0.104248993,0.684060721,0.006641366,15,10,1,11,1,27,22,5,60,48.62191009,34.42,64,2,79,65,6.525,0.6525,0.486219101,0.444444444,0,41,16,25,1.72994064,0.092876329,18.62628136,0.082125009,0.326694019,0.162524432,0.050787672,2.241402022,0.064633665,0.016223502,3.427,1.245830423,1.951305302,4.7,48.4,0.306868867,1.563909774,16,28,56,Sandy Loam,1.790481078
Brinken,4 - Major,84102,3.2,16.87,9.537446225,5.245595424,2.622797712,0.584570063,1.055887927,6.886053414,13.77210683,7,-0.011443771,,65.5,27.66501166,12.94554162,4,,,0,0,2,2,0,0,0,2,0,0,1.75,0,,0,,0,0,0,,0,0,3,11.2,0,0,0,0,0.334232445,0,1.159285297,0,1.493517742,52.208,0.52208,0,52.208,2.5,25,3,22.5,13.25,86.75,80,30,0,0,0,1,1,NA,100,50,1,5,0.5,50,35,5,0,0,38,2,40,0,0,0,0,0,75.5757936,5.24569533,0.048544687,0.015711042,0.159124345,0.104517071,0.872865275,0.048387097,1,1,1,2,1,27,22,5,99,72.90981867,49.55,20,0,40,20,1.95,0.195,0.729098187,0.484848485,12,33,15,6,1.960669705,0.134805939,14.54438671,0.043593284,0.450454745,0.168760147,0.036796173,2.386396064,0.080739027,0.011435387,4.04,1.277527203,2.034954014,3.99,148,0.008028546,15.56390977,18,27,55,Sandy Loam,1.411822898
Brinken,5 - Total,84102,3.9,0,0,0,0.00002,0,0,0,0,1,0.006933033,,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,,0,,0,0,0,,3.666666667,3.333333333,3.05,20.25,18745.17978,18745.17978,0,0,7.494839998,0.048800715,0.095386267,0,7.639026979,72.8,0.728,8.424,81.224,NA,NA,NA,NA,NA,NA,95,1,0,0,0,0,0,NA,NA,75,1,5,0.28,28,17,82,0,50,0,0,50,0,0,0,0,0,77.64067906,5.777491373,0.019215807,0.011866905,0.170743805,0.081834997,0.781783681,0.074952562,50,10,1,11,1,31,26,5,50,100,66.42,38,0,50,38,3.75,0.375,1,0.390243902,6,13,0,7,2.298327322,0.16104038,14.27174554,0.082834021,0.728927554,0.237431643,0.062362967,2.064031697,0.055409325,0.010970674,4.851,1.295904007,1.898704762,4.26,138.4,8.228367529,17.72932331,18,31,51,Loam,1.476388108
Brockis Hill,1 - Intact,71108,6.37,66.25,36.31123453,19.97117899,9.985589496,0.673821473,1.194702543,21.83970301,152.8779211,15,0,,69.42951205,27.23285556,13.44500533,0,0,0,0,0,7,5,2,1,1,1,2,0,NA,49,,0,,0,49,0,,2,75,NA,NA,2829.318344,2829.318344,0,0,0,0,0,0,0,1.04,0.0104,0.91,1.95,7.857142857,20,2.142857143,18.57142857,12.14285714,87.85714286,NA,148,0,0,0,0,0,100,20,50,1,0,0.792079208,79.20792079,NA,0,0,0,0,0,0,0,0,11,0,11,31.68096896,8.277298486,0.011510233,0.002115851,0.084989179,0.060703621,0.488804554,0.10710677,0,1,1,2,100,6,3,3,1,0,0,0,6,11,6,0.55,0.055,0,1,0,31,3,28,3.47066908,0.126549333,27.42542378,0.116577198,0.102707279,0.190324922,0.080779908,3.055978756,0.004041279,0.029816253,3.6396,1.265874804,2.877558203,4.41,47.6,14.5396967,2.22556391,16,28,56,Sandy Loam,1.659420505
Brockis Hill,2 - Slight,71108,4.87,49.09,24.99760714,13.74868393,6.874341965,0.344927603,0.666106029,14.75971756,132.8374581,14,0.042814021,,52.70678851,22.75837264,11.42688954,1,,,0,0,9,2,1,3,5,1,1,0,1,65,,0,,0,65,0,,NA,NA,2,74,0,0,0,0,0.052857296,0,1.219631351,0,1.272488648,6.552,0.06552,1.872,8.424,2.222222222,17.77777778,1.777777778,30,12.94444445,87.05555555,75,147,2,0,0,0,2,100,6.67,5,1,0,1,100,NA,0,0,229,1,0,230,0,0,2,0,2,24.12576788,13.24857948,0.001664215,0.006424355,0.084865827,0.035564657,0.381024668,0.090266083,0,1,0,1,100,2,0,2,0,25.90492307,17.33,172,1,232,173,17.325,1.7325,0.259049231,0,0,28,6,22,3.647738933,0.148067057,24.6357226,0.177242384,0.196097412,0.379818929,0.101075039,7.91717878,0.004011575,0.039142169,2.5,1.308688825,2.912374856,3.93,95.1,0.712756467,0,27,27,46,Sandy Clay Loam,1.235240822
Brockis Hill,3 - Moderate,71108,4.55,33.72,27.24895275,14.98692401,7.493462005,0.585076453,1.056683629,16.62868409,66.51473637,8,0.086620709,,65.52327831,41.70449222,12.48471727,0,,,0,0,4,3,1,1,2,1,0,0,NA,0,,0,,0,0,0,,2,50,2.461538462,30,12597.6148,12597.6148,0,0,3.205811206,0,0.157363161,0,3.363174367,15.6,0.156,0,15.6,5,15,2,21.25,10.8125,89.1875,NA,766,0,0,0,0,0,NA,NA,15,20,0,0.26,26,NA,0,0,40,0,0,40,0,0,8,10,18,37.08458114,38.93253977,0,0.017680543,0.081115932,0.047785576,0.442504744,0.160996969,0,5,0,5,95,3,1,2,0,49.10619028,32.7,30,7,58,37,3.65,0.365,0.491061903,0.4,0,23,1,22,2.946679883,0.159996737,18.41712485,0.173913714,0.278374911,0.969234205,0.133133327,10.95811572,0.029716637,0.029087513,2.8704,1.352495513,2.531109327,4.21,68.1,5.904549509,0.015037594,38,28,34,Clay Loam,1.195027775
